id,petition_no,pdf_url,scraped_at
cf80caf1e22dd407,APPEAL Nos. 244 & 245 of 2016,https://aptel.gov.in/sites/default/files/2026-07/A-%20244%20%26%20245%20of%202016.pdf,2026-07-04T05:55:14.938525
e44b9e471df72436,APPEAL No. 200 of 2018,https://aptel.gov.in/sites/default/files/2026-07/A%20200%20of%202018.pdf,2026-07-04T05:55:18.597024
e05936f682346b04,APPEAL No. 53 of 2020,https://aptel.gov.in/sites/default/files/2026-07/A-%2053%20of%202020.pdf,2026-07-04T05:55:22.335850
15ce628e6c23472f,APL No. 300 OF 2015,http://aptel.gov.in/sites/default/files/2026-07/300%20of%202015.pdf,2026-07-04T11:00:17.778156
98cda5f4f889ae24,APPEAL NO. 198 OF 2017 & IA No. 971 OF 2017,http://aptel.gov.in/sites/default/files/2026-07/Final%20Draft%20Judgment%20in%20APL%20198%20of%202017%20CII.pdf,2026-07-04T11:00:21.324330
328b4c30024056cb,APPEAL No. 27 OF 2026 & IA No. 41 OF 2026,http://aptel.gov.in/sites/default/files/2026-07/Final%20Judgement%20-APL%20%2027%20of%202026%20C-1.pdf,2026-07-04T11:00:23.843300
65aa1f06a1842dab,APPEAL NO. 89 OF 2025 & IA No. 456 OF 2025 APPEAL NO. 94 OF 2025 & IA No. 433 OF 2025 & APPEAL NO.135 OF 2025 & & IA No. 796 OF 2025,http://aptel.gov.in/sites/default/files/2026-07/Final%20Judgment%20in%20APL%2089%2C94%20%26%20135%20of%202025%20C-I.pdf,2026-07-04T11:00:26.703201
29f0c9a27c12272d,"APL No. 171 OF 2019 & IA No. 1326 OF 2024 & IA No. 714 OF 2025 & IA No. 1001 OF 2025 APL No. 352 OF 2019 & IA No. 1331 OF 2024 & IA No. 750 OF 2025 & IA No. 755 OF 2025 & IA No. 251 OF 2026, APL No. 417 OF 2019 & IA No. 931 OF 2019 & IA No. 1354 OF 2024 & IA No. 1550 OF 2024 & IA No. 1687 OF 2024 & IA No. 1688 OF 2024 & IA No. 181 OF 2025 & IA No. 373 OF 2025 & IA No. 416 OF 2025 APL No. 24 OF 2020 & IA No. 1341 OF 2024 & IA No. 712 OF 2025 APL No. 29 OF 2020 & IA No. 1340 OF 2024 & IA No. 713 OF 2025 APL No. 31 OF 2020 & IA No. 1347 OF 2024 & IA No. 740 OF 2025 APL No. 42 OF 2020 & IA No. 1342 OF 2024 & IA No. 715 OF 2025 APL No. 269 OF 2019 & IA No. 1349 OF 2024 & IA No. 1365 OF 2020 & IA No. 710 OF 2025 APL No. 365 OF 2019 & IA No. 1350 OF 2024 & IA No. 717 OF 2025 APL No. 416 OF 2019 & IA No. 1338 OF 2024 & IA No. 716 OF 2025 APL No. 437 OF 2019 & IA No. 1329 OF 2024 & IA No. 2099 OF 2019 & IA No. 2199 OF 2019 & IA No. 767 OF 2025 APL No. 448 OF 2019 & IA No. 1325 OF 2024 & IA No. 252 OF 2020 & IA No. 768 OF 2025 APL No. 82 OF 2023 & IA No. 1348 OF 2024 & IA No. 256 OF 2026 APL No. 254 OF 2023 & IA No. 1328 OF 2024 & IA No. 766 OF 2025 & IA No. 770 OF 2025 APL No. 252 OF 2019 & IA No. 1339 OF 2024 & IA No. 1562 OF 2019 & IA No. 26 OF 2020 & IA No. 711 OF 2025 & IA No. 1002 OF 2025 APL No. 292 OF 2019 & IA No. 1351 OF 2024 & IA No. 147 OF 2020 & IA No. 1003 OF 2025 APL No. 322 OF 2019 & IA No. 1337 OF 2024 & IA No. 744 OF 2025 APL No. 336 OF 2019 & IA No. 635 OF 2024 & IA No. 797 OF 2019 & IA No. 553 OF 2022 & IA No. 554 OF 2022 & IA No. 322 OF 2025 & IA No. 1097 OF 2025 APL No. 37 OF 2021 & IA No. 1330 OF 2024 & IA No. 254 OF 2026 APL No. 87 OF 2021 & IA No. 1380 OF 2024 & IA No. 745 OF 2025 APL No. 460 OF 2022 & IA No. 1327 OF 2024 & IA No. 739 OF 2025 APL No. 459 OF 2023 & IA No. 1336 OF 2024 & IA No. 265 OF 2023 & IA No. 754 OF 2025 & IA No. 1004 OF 2025 & IA No. 253 OF 2026 APL No. 460 OF 2023 & IA No. 1335 OF 2024 & IA No. 257 OF 2023 & IA No. 756 OF 2025 & IA No. 250 OF 2026 APL No. 413 OF 2019 & IA No. 1324 OF 2024 & IA No. 721 OF 2025 & IA No. 252 OF 2026 APL No. 83 OF 2023 & IA No. 1352 OF 2024 & IA No. 720 OF 2025 & Appeal No.171 of 2019 & batch Page 2 of 72 IA No. 255 OF 2026 DFR No : 331 of 2025 & IA No. 1357 OF 2025 & IA No. 1358 OF 2025 & IA No. 1481 OF 2025",https://aptel.gov.in/sites/default/files/2026-07/APL%20171%20OF%202019%20and%20batch.pdf,2026-07-08T11:15:27.814658
66a22f384f3cd410,APPEAL No.11 of 2022 & APPEAL No.468 of 2022,https://aptel.gov.in/sites/default/files/2026-07/Judgment%20in%20Appeal%20Nos.11%20of%202022%20and%20468%20of%202022%20%281%29.pdf,2026-07-08T11:15:32.308546
75a5caee7265729d,APPEAL NO. 28 OF 2019,https://aptel.gov.in/sites/default/files/2026-07/APL%2028%20OF%202019.pdf,2026-07-08T11:15:34.801105
